Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,++,N/A,51.74,1.93
205-210,++,N/A,46.69,6.38
210-215,+,++,11.06,13.02
215-220,--,-,-36.37,13.5
220-225,--,N/A,-77.87,10.35
225-230,--,N/A,-103.26,3.71
230-235,--,N/A,-95.11,8.94
235-240,--,N/A,-50.13,15.18
240-245,-,+,-8.18,8.15
245-250,+,N/A,7.31,1.4
250-255,+,N/A,6.82,0.89
255-260,+,N/A,4.31,0.47
260-265,+,N/A,4.14,0.56
265-270,+,N/A,10.15,3.25
270-275,++,+,26.95,6.27
275-280,++,N/A,50.43,6.32
280-285,++,N/A,57.99,3.44
285-290,++,+,28.89,12.81
290-295,--,-,-20.99,14.2
295-300,--,N/A,-53.83,4.34
300-305,--,N/A,-52.6,3.85
305-310,--,N/A,-33.91,6.43
>310,+,-,-1.45,11.62
