Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,+,++,17.82,5.79
205-210,++,N/A,50.11,12.42
210-215,++,N/A,82.38,4.97
215-220,++,N/A,75.04,9.56
220-225,++,+,25.41,17.48
225-230,--,-,-31.22,14.64
230-235,--,N/A,-80.85,13.84
235-240,--,N/A,-113.89,3.87
240-245,--,N/A,-90.75,15.51
245-250,--,-,-24.49,19.6
250-255,++,+,19.99,5.78
255-260,++,+,23.0,2.21
260-265,+,N/A,14.13,2.44
265-270,+,N/A,8.25,0.92
270-275,+,N/A,8.81,1.39
275-280,+,++,19.69,5.09
280-285,++,N/A,41.44,6.8
285-290,++,N/A,58.48,2.47
290-295,++,N/A,54.63,4.68
295-300,++,+,31.52,7.85
300-305,+,-,7.31,5.74
305-310,-,N/A,-7.79,2.79
>310,-,+,-5.24,5.57
