Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,N/A,N/A,N/A,N/A
205-210,--,N/A,-174.28,13.62
210-215,--,-,-60.53,45.8
215-220,++,N/A,64.43,20.53
220-225,++,N/A,69.34,13.75
225-230,++,+,14.28,15.52
230-235,--,-,-31.0,9.61
235-240,--,N/A,-38.43,7.14
240-245,-,+,5.6,15.82
245-250,++,N/A,50.69,8.62
250-255,++,N/A,59.92,3.08
255-260,++,N/A,41.5,6.6
260-265,+,++,18.98,6.02
265-270,+,-,2.03,3.27
270-275,+,-,1.9,3.36
275-280,++,+,24.67,9.68
280-285,++,N/A,65.6,13.28
285-290,++,N/A,110.63,11.24
290-295,++,N/A,126.95,3.17
295-300,++,N/A,93.06,16.3
300-305,++,+,24.41,21.21
305-310,--,-,-33.15,11.51
>310,--,++,2.16,80.83
