Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,N/A,N/A,N/A,N/A
205-210,--,N/A,-177.53,36.8
210-215,--,N/A,-222.94,16.47
215-220,--,N/A,-115.29,36.93
220-225,--,-,-26.99,14.83
225-230,++,+,49.02,35.23
230-235,++,N/A,212.59,52.43
235-240,++,N/A,322.01,13.35
240-245,++,+,155.14,85.15
245-250,--,-,-133.21,64.46
250-255,--,N/A,-202.26,24.29
255-260,--,N/A,-83.52,33.82
260-265,-,+,-8.12,10.18
265-270,+,N/A,6.3,1.25
270-275,+,++,23.15,10.33
275-280,++,N/A,90.49,29.62
280-285,++,N/A,223.65,44.25
285-290,++,N/A,345.69,18.39
290-295,++,N/A,273.8,55.9
295-300,++,--,25.79,76.14
300-305,--,N/A,-166.41,28.53
305-310,--,N/A,-163.76,20.97
>310,--,++,-40.36,56.25
