Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,++,N/A,49.15,2.29
205-210,++,N/A,48.29,4.21
210-215,++,+,22.32,9.67
215-220,-,+,-8.02,6.63
220-225,--,-,-20.14,1.37
225-230,--,N/A,-28.24,4.04
230-235,--,N/A,-49.42,7.65
235-240,--,N/A,-71.86,4.37
240-245,--,N/A,-73.51,3.44
245-250,--,N/A,-51.37,8.72
250-255,--,-,-22.91,6.89
255-260,-,N/A,-6.87,2.62
260-265,-,+,-0.75,1.34
265-270,+,N/A,6.86,3.56
270-275,++,+,25.58,7.19
275-280,++,N/A,54.97,8.9
280-285,++,N/A,73.99,1.77
285-290,++,N/A,55.86,10.64
290-295,-,++,8.31,15.22
295-300,--,-,-32.73,7.46
300-305,--,N/A,-40.77,2.19
305-310,--,-,-25.31,6.1
>310,-,+,-2.68,4.85
