Wavelength Range,Primary State,Secondary State,Mean,Std Dev
<205,--,-,-23.06,8.38
205-210,--,N/A,-59.08,10.42
210-215,--,N/A,-68.82,4.49
215-220,--,N/A,-48.43,4.61
220-225,--,N/A,-55.84,7.63
225-230,--,N/A,-73.33,2.09
230-235,--,-,-42.63,16.5
235-240,++,+,14.97,13.86
240-245,++,N/A,39.44,1.47
245-250,++,N/A,29.94,5.17
250-255,+,++,13.14,3.94
255-260,+,N/A,5.13,0.78
260-265,+,N/A,10.18,4.07
265-270,++,+,35.66,10.7
270-275,++,N/A,76.8,11.83
275-280,++,N/A,107.92,4.89
280-285,++,N/A,100.61,8.61
285-290,++,N/A,60.66,13.09
290-295,+,++,15.91,12.0
295-300,-,--,-18.24,7.7
300-305,--,N/A,-37.17,3.3
305-310,--,N/A,-41.2,1.19
>310,--,-,-23.3,9.01
