Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,-3.9479544183059723
202.39464882943145,-8.499786872937085
202.78929765886286,-13.424211693349474
203.18394648829428,-18.687164717184693
203.57859531772573,-24.246376581052196
203.97324414715717,-30.051630185486406
204.36789297658862,-36.045221959450025
204.76254180602007,-42.162629027796875
205.1571906354515,-48.333378698803514
205.55183946488296,-54.48211079153238
205.94648829431438,-60.52981739980643
206.3411371237458,-66.39523893459993
206.73578595317724,-71.99638989438878
207.1304347826087,-77.2521829717289
207.52508361204013,-82.08411598844398
207.91973244147155,-86.41798291503395
208.31438127090297,-90.18556799914444
208.70903010033447,-93.32628089819156
209.1036789297659,-95.78869074196122
209.4983277591973,-97.53191826375101
209.89297658862876,-98.52684751636012
210.2876254180602,-98.75712217714116
210.68227424749165,-98.21989595416932
211.07692307692307,-96.926312011259
211.47157190635448,-94.90169248409325
211.86622073578593,-92.18542589274037
212.26086956521738,-88.83054738201608
212.65551839464882,-84.903014046711
213.05016722408024,-80.48068492793645
213.44481605351172,-75.65202240838973
213.83946488294316,-70.51453850678779
214.23411371237458,-65.17301580849562
214.62876254180603,-59.73753832277448
215.02341137123744,-54.32137230103828
215.4180602006689,-49.038740882767655
215.81270903010034,-44.002539278558274
216.20735785953175,-39.322039000162846
216.6020066889632,-35.10063037632806
216.99665551839462,-31.43365224449133
217.3913043478261,-28.406356296946317
217.78595317725754,-26.092051120252847
218.18060200668896,-24.55046755037271
218.5752508361204,-23.82638264113329
218.96989966555185,-23.94853439243025
219.36454849498327,-24.928853502716823
219.7591973244147,-26.762031905724204
220.15384615384613,-29.425440843640732
220.54849498327758,-32.87940384878086
220.94314381270902,-37.06782239410103
221.33779264214044,-41.91914428028386
221.7324414715719,-47.3476572122633
222.12709030100336,-53.25508264628043
222.5217391304348,-59.53243802915681
222.91638795986623,-66.06212917471574
223.31103678929765,-72.72022889540453
223.7056856187291,-79.37889328984338
224.10033444816054,-85.90886342604612
224.49498327759198,-92.18199768381217
224.8896321070234,-98.0737788324836
225.28428093645482,-103.46574009627267
225.67892976588627,-108.24775603819349
226.07357859531774,-112.32014707560124
226.46822742474916,-115.5955507834814
226.8628762541806,-118.00051876018907
227.25752508361205,-119.47680459468023
227.6521739130435,-119.98231621319916
228.04682274247492,-119.49171438769898
228.44147157190633,-117.99664821700128
228.83612040133778,-115.50562767939944
229.23076923076923,-112.04354262142078
229.62541806020067,-107.65084650597612
230.0200668896321,-102.38243161414226
230.4147157190635,-96.30622991499833
230.80936454849495,-89.50158025144714
231.20401337792643,-82.05740763794482
231.59866220735785,-74.07026417521664
231.9933110367893,-65.64228325579177
232.38795986622074,-56.87909931725244
232.7826086956522,-47.88778440989742
233.1772575250836,-38.77485035186931
233.57190635451502,-29.64436137124228
233.96655518394647,-20.596197052918065
234.36120401337791,-11.724499330696101
234.75585284280936,-3.1163304347855827
235.1505016722408,5.149438614202458
235.54515050167225,13.00299690974053
235.9397993311037,20.384215390300874
236.33444816053512,27.243023998681085
236.72909698996654,33.53955350449201
237.12374581939798,39.24405711637591
237.51839464882943,44.336632000968855
237.91304347826087,48.80676479842373
238.3076923076923,52.652728109869905
238.7023411371237,55.880856707909814
239.09698996655516,58.50473290962862
239.4916387959866,60.54431021644989
239.88628762541805,62.025003066071584
240.2809364548495,62.97676848725883
240.67558528428094,63.43320274830667
241.0702341137124,63.43067290751412
241.4648829431438,63.007499677018295
241.85953177257522,62.20320436496197
242.25418060200667,61.05782902056384
242.64882943143812,59.61133541168516
243.04347826086956,57.90308523392047
243.43812709030107,55.971401079125854
243.83277591973248,53.85320524893839
244.22742474916393,51.58373152832292
244.62207357859535,49.196303553175035
245.0167224080268,46.72217240880331
245.41137123745824,44.19040555651348
245.80602006688966,41.62781906043611
246.2006688963211,39.05894532027551
246.59531772575252,36.50602904326244
246.98996655518397,33.98904494127123
247.38461538461542,31.525731547205446
247.77926421404683,29.13163654162295
248.17391304347828,26.820170005091896
248.5685618729097,24.60266301079739
248.96321070234114,22.488429901675833
249.3578595317726,20.484833423280943
249.752508361204,18.597352584458267
250.14715719063545,16.829653679474784
250.54180602006687,15.183665323261426
250.93645484949832,13.659658629479056
251.33110367892976,12.256333809048327
251.72575250836118,10.9709144991229
252.12040133779263,9.799251066761817
252.51505016722405,8.735933986756988
252.9096989966555,7.774418188201776
253.30434782608694,6.907159017315327
253.69899665551836,6.125760190505726
254.0936454849498,5.421133824681253
254.48829431438122,4.783672341262108
254.88294314381267,4.203431752830283
255.2775919732441,3.670325560390203
255.67224080267553,3.1743282155312786
256.06688963210695,2.7056868338472895
256.4615384615384,2.2551395806028016
256.85618729096984,1.8141388827353473
