Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
195.76844955991876,-0.0019401839273230207
196.1723574179787,-0.002272329960954221
196.5762652760386,-0.002586260106976912
196.98017313409852,-0.0028353891087119034
197.3840809921585,-0.0029489018977137027
197.7879888502184,-0.0028232938486887865
198.19189670827836,-0.0023117899691715593
198.59580456633824,-0.0012113184739374833
198.99971242439818,0.0007532807197245251
199.40362028245812,0.003948108808282875
199.80752814051806,0.008852373091605935
200.211435998578,0.016084043807421785
200.61534385663788,0.026429082448758558
201.01925171469784,0.04087419033888536
201.42315957275775,0.06064286397803346
201.8270674308177,0.08723435123436646
202.23097528887763,0.122464883120986
202.63488314693757,0.16851031524372795
203.0387910049975,0.22794905890282446
203.4426988630574,0.3038039243602547
203.84660672111735,0.3995812498910956
204.25051457917726,0.519305463219241
204.6544224372372,0.6675470307387632
205.05833029529714,0.8494416082772033
205.46223815335705,1.0706981276560446
205.866146011417,1.3375935464411186
206.2700538694769,1.6569520615896005
206.67396172753683,2.036106745085079
207.07786958559677,2.4828418009470994
207.48177744365668,3.0053139639172386
207.88568530171662,3.6119519525581305
208.28959315977656,4.311333342243044
208.69350101783647,5.112038723299272
209.0974088758964,6.02248354239305
209.50131673395634,7.050728577818301
209.90522459201628,8.204270560508396
210.30913245007622,9.489815014486142
210.7130403081361,10.91303394939049
211.11694816619604,12.478311594326206
211.52085602425598,14.18848192118421
211.92476388231591,16.04456227419493
212.32867174037585,18.045488009167627
212.7325795984358,20.187853657537964
213.13648745649573,22.465666769564198
213.54039531455564,24.8701212530473
213.94430317261558,27.389397693942556
214.3482110306755,30.008498795851217
214.75211888873542,32.709128665357625
215.15602674679536,35.469625143883704
215.55993460485527,38.26495467523507
215.9638424629152,41.06677922150594
216.36775032097515,43.843604411968975
216.77165817903506,46.56101734225589
217.175566037095,49.18202115248642
217.57947389515493,51.667471634523686
217.98338175321484,53.976618603718165
218.38728961127478,56.067751603351525
218.7911974693347,57.898945712928025
219.19510532739463,59.428898872110345
219.59901318545457,60.61784732803007
220.0029210435145,61.428540734691474
220.40682890157444,61.8272533001025
220.81073675963432,61.7848024567478
221.21464461769426,61.277542128440686
221.6185524757542,60.28829410978684
222.02246033381414,58.80717869830585
222.42636819187408,56.83230484402025
222.830276049934,54.37028098924279
223.23418390799395,51.4365106812999
223.63809176605383,48.05524208413936
224.0419996241138,44.25934771190643
224.4459074821737,40.089819951149096
224.84981534023365,35.594978980994355
225.25372319829359,30.829402152372737
225.65763105635352,25.85259722197621
226.06153891441343,20.727455409649547
226.46544677247337,15.518533324645526
226.86935463053328,10.290224600181944
227.27326248859322,5.104891795105285
227.67717034665316,0.021036020674965867
228.08107820471307,-4.908414815734889
228.484986062773,-9.63761878298459
228.8888939208329,-14.129058125797819
229.29280177889285,-18.354436395625925
229.6967096369528,-22.295181228221395
230.10061749501273,-25.942516354999608
230.50452535307267,-29.297086256210946
230.90843321113258,-32.3681387002264
231.31234106919248,-35.17229315307274
231.71624892725242,-37.731945455653246
232.12015678531236,-40.073379975000144
232.5240646433723,-42.22467839107108
232.92797250143224,-44.21352823938536
233.33188035949217,-46.06504333019299
233.73578821755206,-47.79971149116866
234.139696075612,-49.431582315779195
234.54360393367193,-50.96679866098834
234.94751179173187,-52.40256079460799
235.3514196497918,-53.726591960495725
235.75532750785175,-54.91714964786091
236.15923536591166,-55.94359923644332
236.56314322397157,-56.76753737592482
236.96705108203153,-57.34442301904918
237.37095894009144,-57.625646089733586
237.77486679815138,-57.56093891595448
238.17877465621132,-57.10101524462743
238.58268251427123,-56.20030711184253
238.98659037233116,-54.81966199537192
239.39049823039107,-52.92886209181613
239.794406088451,-50.508834395136425
240.19831394651095,-47.55343423637488
240.60222180457086,-44.070705384700126
241.0061296626308,-40.08354562758708
241.4100375206907,-35.62973653285494
241.81394537875065,-30.76132818836373
242.21785323681058,-25.543402307790878
242.62176109487052,-20.052268336522754
243.02566895293043,-14.373175322041575
243.4295768109904,-8.59764575114857
243.83348466905028,-2.82055501732419
244.23739252711022,2.8629092446652975
244.64130038517015,8.360270511930544
245.0452082432301,13.584636148504801
245.44911610129003,18.457297470673414
245.85302395934997,22.90995221322867
246.2569318174099,26.886466660157186
246.6608396754698,30.34412030852524
247.06474753352973,33.25430337797332
247.46865539158966,35.602665103515065
247.8725632496496,37.38873696866662
248.27647110770954,38.62507843315021
248.68037896576945,39.33601212498096
249.0842868238294,39.55603006002791
249.4881946818893,39.32796173722482
249.89210253994924,38.70099881143457
250.29601039800917,37.72866968978253
250.6999182560691,36.46685135484461
251.10382611412902,34.971895755481846
251.50773397218896,33.298935159268424
251.91164183024887,31.500415957028896
252.3155496883088,29.624894592100777
252.71945754636874,27.71611354067928
253.12336540442865,25.812360465872224
253.52727326248862,23.946100518286674
253.9311811205485,22.143860783978848
254.33508897860844,20.426337411600617
254.73899683666838,18.808690115315283
255.14290469472832,17.300985502192635
255.54681255278825,15.908749816680258
255.95072041084813,14.633592919590527
256.35462826890813,13.473868236508194
256.758536126968,12.425337592070735
257.16244398502795,11.481814857944647
257.5663518430879,10.6357677730226
257.9702597011478,9.878862780533028
258.37416755920776,9.202442967032601
258.7780754172677,8.597933952206942
259.18198327532764,8.057176708489829
259.5858911333875,7.572689697068279
259.98979899144746,7.1378653638082366
260.3937068495074,6.747107966042051
260.79761470756733,6.395920956037665
261.2015225656272,6.080952808933459
261.60543042368715,5.8000103416017925
262.0093382817471,5.552048313234803
262.41324613980703,5.337143508450737
262.81715399786697,5.156460645270075
263.2210618559269,5.012216372975054
263.62496971398684,4.907646362752108
264.0288775720467,4.84697906926037
264.43278543010666,4.8354181695937895
264.8366932881666,4.8791339837426255
265.24060114622654,4.985262371756167
265.6445090042865,5.161907726418363
266.04841686234636,5.418144795980232
266.45232472040635,5.764012262968393
266.85623257846623,6.210489380481549
267.26014043652617,6.76944565656421
267.6640482945861,7.453552725267266
268.06795615264605,8.276147300118653
268.471864010706,9.251034614296586
268.87577186876587,10.392223131062751
269.27967972682586,11.713583637806574
269.68358758488574,13.22842914199646
270.0874954429457,14.949016223141964
270.4914033010056,16.88597353839259
270.8953111590655,19.047668824151238
271.2992190171255,21.439531694251894
271.70312687518543,24.063355447486348
272.1070347332453,26.91660654988539
272.51094259130525,29.991775007014663
272.9148504493652,33.275802046679836
273.3187583074251,36.74962298708003
273.72266616548507,40.3878625365287
274.12657402354495,44.15871683292276
274.5304818816049,48.02405119680566
274.9343897396648,51.93973491387425
275.3382975977248,55.85622462591734
275.7422054557847,59.71939650865123
276.1461133138446,63.471614921453856
276.5500211719046,67.05301232444226
276.95392902996446,70.40294275406643
277.3578368880244,73.4615598435495
277.76174474608433,76.17146105786446
278.16565260414427,78.47933318820506
278.5695604622042,80.33753077969271
278.9734683202641,81.70551941950897
279.3773761783241,82.55111983508078
279.78128403638397,82.85149644108854
280.1851918944439,82.59384497940876
280.58909975250384,81.7757476365243
280.9930076105638,80.40517972256963
281.3969154686237,78.50016873583905
281.8008233266836,76.08812341696901
282.20473118474354,73.20486620856461
282.6086390428035,69.89341642984498
283.0125469008634,66.20258262999212
283.41645475892335,62.18543035970112
283.82036261698323,57.897695584854205
284.2242704750432,53.3962139966837
284.62817833310316,48.73743264300449
285.03208619116305,43.976062952776424
285.435994049223,39.16392390290085
285.8399019072829,34.34901150324725
286.2438097653428,29.574816790498378
286.6477176234028,24.879900016057107
287.0516254814627,20.297714575154032
287.4555333395226,15.856661277359684
287.85944119758256,11.580342513825746
288.2633490556425,7.487977291363643
288.66725691370243,3.594932355395447
289.0711647717623,-0.08667810400960867
289.4750726298223,-3.547371387868115
289.8789804878822,-6.779697995285343
290.2828883459421,-9.777704675998276
290.68679620400206,-12.536489871243493
291.09070406206195,-15.05187365392099
291.49461192012194,-17.32019457466747
291.8985197781818,-19.338235982630216
292.30242763624176,-21.103275029595185
292.7063354943017,-22.61323923187323
293.11024335236164,-23.866948611762307
293.5141512104216,-24.864416410316196
293.9180590684815,-25.60717836700411
294.32196692654145,-26.09861967532838
294.72587478460133,-26.344269888816175
295.12978264266127,-26.352039087704448
295.5336905007212,-26.132373235436862
295.93759835878114,-25.698312484612757
296.3415062168411,-25.065442806739423
296.74541407490096,-24.25173826470935
297.1493219329609,-23.277298070272234
297.5532297910209,-22.163988851644888
297.9571376490808,-20.935007936675994
298.3610455071407,-19.61438765001725
298.76495336520065,-18.226463435687553
299.16886122326054,-16.795329955561073
299.57276908132053,-15.344309185403713
299.9766769393804,-13.895453031816213
300.38058479744035,-12.469100304815296
300.7844926555003,-11.083504243875147
301.1884005135602,-9.754542494483564
301.59230837162016,-8.49551677240623
301.99621622968004,-7.317044736958021
302.40012408774,-6.227042103975055
302.8040319457999,-5.230789006486768
303.20793980385986,-4.331071247501949
303.6118476619198,-3.528384516733233
304.0157555199797,-2.821187931039559
304.4196633780397,-2.2061924159294404
304.8235712360996,-1.678669426984221
305.2274790941595,-1.232766224368269
305.63138695221943,-0.8618152352482827
306.0352948102793,-0.5586268206744726
306.4392026683393,-0.3157568485719028
306.84311052639924,-0.12574270832307216
307.2470183844591,0.018696357715507837
307.65092624251906,0.12449660764965044
308.054834100579,0.19812493297659822
308.45874195863894,0.24549024444198203
308.8626498166989,0.27188829231931433
309.26655767475876,0.2819761564644012
309.6704655328187,0.2797720346751728
310.07437339087863,0.2686756650504919
310.47828124893863,0.2515046998326232
310.8821891069985,0.23054255622061917
311.2860969650584,0.20759365108158762
311.6900048231184,0.18404242837250143
312.0939126811783,0.16091316059332658
312.49782053923826,0.13892810458629604
312.90172839729814,0.11856218066970314
313.3056362553581,0.10009289378879777
313.709544113418,0.08364470567140031
314.11345197147796,0.06922748525700681
314.5173598295379,0.05676900517116324
314.9212676875978,0.046141714708361974
315.3251755456577,0.03718420906974443
315.72908340371765,0.029717938027816547
316.1329912617776,0.023559764257834147
316.5368991198375,0.018531002683190426
