Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,4.680915458296172
202.39464882943142,4.640747850793843
202.7892976588629,4.594513982507469
203.18394648829428,4.542116013150689
203.57859531772576,4.483465151872731
203.97324414715717,4.418481978071748
204.36789297658862,4.3470967349660175
204.76254180602007,4.269249594767709
205.15719063545149,4.184890894470067
205.55183946488296,4.093981341432383
205.94648829431435,3.9964921881259974
206.34113712374582,3.8924053755885946
206.73578595317724,3.7817136453199494
207.1304347826087,3.664420619540251
207.52508361204013,3.540540849919059
207.91973244147155,3.410099835068087
208.31438127090303,3.273134007272412
208.70903010033442,3.1296906891106513
209.1036789297659,2.979828020783897
209.4983277591973,2.8236148591337447
209.89297658862876,2.661130649480534
210.2876254180602,2.492465271552569
210.68227424749165,2.317718860903405
211.0769230769231,2.137001607328605
211.47157190635448,1.9504335318902466
211.86622073578596,1.7581442442421036
212.26086956521738,1.560272682013427
212.65551839464882,1.3569668340596077
213.05016722408027,1.1483834494206533
213.44481605351172,0.9346877338423112
213.83946488294316,0.7160530357130083
214.23411371237455,0.4926605232491077
214.62876254180603,0.26469885472428845
215.02341137123744,0.03236384348537353
215.4180602006689,-0.20414188057297228
215.81270903010034,-0.4446092114854644
216.20735785953178,-0.6888229081557001
216.60200668896323,-0.9365619343775073
216.99665551839462,-1.187599796681902
217.3913043478261,-1.4417048788838143
217.7859531772575,-1.6986407723447898
218.18060200668896,-1.9581666011146612
218.5752508361204,-2.2200373412674383
218.96989966555185,-2.4840041339030714
219.3645484949833,-2.7498145914423966
219.75919732441469,-3.0172130970012376
220.15384615384616,-3.285941096781766
220.54849498327758,-3.555737385571231
220.94314381270902,-3.8263383855817232
221.33779264214047,-4.097478419001658
221.73244147157192,-4.368889974757588
222.12709030100334,-4.640303970101484
222.52173913043475,-4.911450007744373
222.91638795986623,-5.182056629347352
223.31103678929765,-5.451851566259742
223.7056856187291,-5.720561988454404
224.10033444816054,-5.987914752656308
224.49498327759198,-6.253636650689231
224.8896321070234,-6.517454659075814
225.28428093645482,-6.779096190922087
225.6789297658863,-7.038289351092109
226.0735785953177,-7.294763195639204
226.46822742474916,-7.548247996402213
226.8628762541806,-7.798475511601485
227.25752508361205,-8.04517926318038
227.65217391304347,-8.288094821533894
228.0468227424749,-8.526960098149619
228.44147157190636,-8.7615156465563
228.83612040133778,-8.991504971835521
229.23076923076923,-9.216674848803956
229.62541806020067,-9.436775648814734
230.02006688963212,-9.65156167496769
230.41471571906354,-9.860791505348656
230.80936454849495,-10.064228343752847
231.2040133779264,-10.261640377176949
231.59866220735785,-10.452801139200574
231.9933110367893,-10.637489878213403
232.38795986622074,-10.815491929289337
232.7826086956522,-10.986599088359556
233.1772575250836,-11.150609987196212
233.57190635451502,-11.30733046759211
233.96655518394647,-11.456573953003705
234.36120401337791,-11.598161815825526
234.75585284280936,-11.73192373837754
235.1505016722408,-11.85769806561834
235.54515050167225,-11.975332147545352
235.93979933110367,-12.08468266921259
236.3344481605351,-12.185615966281308
236.72909698996654,-12.278008324027846
237.12374581939798,-12.361746257758593
237.51839464882943,-12.436726772630085
237.91304347826087,-12.50285760093936
238.30769230769232,-12.560057415037129
238.70234113712374,-12.608256014122272
239.0969899665552,-12.647394483302543
239.4916387959866,-12.677425323447576
239.88628762541808,-12.698312550521097
240.2809364548495,-12.710031763253777
240.67558528428094,-12.712570178206528
241.0702341137124,-12.705926631476377
241.4648829431438,-12.690111546508692
241.85953177257522,-12.665146867700887
242.25418060200667,-12.631065959711764
242.64882943143814,-12.587913472623704
243.04347826086956,-12.535745173342718
243.438127090301,-12.474627743859054
243.83277591973246,-12.404638547228172
244.22742474916384,-12.325865362368122
244.6220735785953,-12.238406088995575
245.01672240802674,-12.142368424248799
245.4113712374582,-12.037869512756316
245.8060200668897,-11.925035572114222
246.20066889632108,-11.804001495923828
246.59531772575252,-11.674910436717234
246.9899665551839,-11.537913371256984
247.38461538461536,-11.393168650837389
247.7792642140468,-11.24084153933788
248.17391304347828,-11.081103741881323
248.56856187290975,-10.914132927030039
248.96321070234114,-10.740112245512949
249.3578595317726,-10.559229848511979
249.75250836120398,-10.371678408549526
250.14715719063543,-10.177654646007433
250.54180602006687,-9.97735886427307
250.93645484949835,-9.770994496450118
251.33110367892982,-9.55876766648884
251.7257525083612,-9.340886767485001
252.12040133779266,-9.11756205976932
252.51505016722405,-8.889005291258629
252.9096989966555,-8.65542934236852
253.30434782608694,-8.417047897597898
253.6989966555184,-8.174075145684126
254.09364548494986,-7.9267255100026635
254.48829431438125,-7.675213410640559
254.88294314381272,-7.419753059318603
255.2775919732441,-7.160558288065589
255.67224080267556,-6.897842412270679
256.066889632107,-6.631818128450936
256.46153846153845,-6.362697446776333
256.85618729096996,-6.090691658097723
257.25083612040135,-5.816011334919624
257.6454849498328,-5.5388663654618835
258.0401337792642,-5.25946601965378
258.4347826086956,-4.978019045610875
258.8294314381271,-4.694733794858639
259.2240802675585,-4.409818374286934
259.61872909699,-4.123480822554917
260.0133779264214,-3.8359293084102832
260.40802675585286,-3.547372348149895
260.80267558528425,-3.2580190392282455
261.1973244147157,-2.968079306817773
261.59197324414714,-2.6777641599466704
261.9866220735786,-2.3872859536808493
262.3812709030101,-2.0968586536857305
262.7759197324415,-1.8066980993948827
263.1705685618729,-1.517022261934625
263.5652173913043,-1.2280514929010162
263.95986622073576,-0.9400087600639268
264.3545150501672,-0.6531198660813685
264.74916387959865,-0.36761364634415983
265.14381270903016,-0.08372214214242311
265.53846153846155,0.1983192545569272
265.933110367893,0.4782716882985072
266.3277591973244,0.7558927627093062
266.72240802675583,1.0309365016762526
267.1170568561873,1.3031533521323433
267.5117056856187,1.5722902312042812
