Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
205.0,-32.34489494321825
205.4849498327759,-32.15842180305962
205.96989966555182,-31.89726324806042
206.45484949832772,-31.561655965160195
206.93979933110364,-31.15237762800724
207.42474916387954,-30.6707516049508
207.90969899665544,-30.11864534110068
208.39464882943145,-29.498462290370075
208.87959866220737,-28.813127375566857
209.36454849498327,-28.066066058982226
209.84949832775916,-27.261177210362955
210.33444816053517,-26.40280006140688
210.8193979933111,-25.495675633808414
211.304347826087,-24.54490311928241
211.7892976588629,-23.555891772963403
212.27424749163882,-22.53430895434407
212.7591973244147,-21.486025010974778
213.24414715719064,-20.41705574828051
213.72909698996654,-19.333503263156633
214.21404682274243,-18.24149593892732
214.69899665551836,-17.147128404597897
215.18394648829425,-16.056402252245864
215.66889632107018,-14.975168283397236
216.1538461538462,-13.909071019124637
216.63879598662209,-12.86349616052059
217.12374581939798,-11.84352162750219
217.6086956521739,-10.85387273618043
218.09364548494992,-9.898882000000757
218.5785953177258,-8.982453959392
219.0635451505017,-8.108035360599487
219.54849498327764,-7.278590918630585
220.03344481605353,-6.496584813589459
220.51839464882946,-5.763967985831627
221.00334448160535,-5.082171214873839
221.48829431438125,-4.452103891187283
221.97324414715717,-3.8741583200347267
222.45819397993307,-3.3482193332708445
222.94314381270897,-2.8736789291635674
223.4280936454849,-2.4494556122313775
223.91304347826082,-2.074018064984504
224.39799331103683,-1.7454127512695634
224.88294314381272,-1.4612950263966342
225.36789297658862,-1.2189633119621441
225.85284280936452,-1.0153958827265308
226.33779264214053,-0.8472898084039396
226.82274247491642,-0.7111015940719854
227.30769230769235,-0.6030890683639114
227.79264214046827,-0.5193540779314082
228.27759197324417,-0.45588555916556683
228.76254180602007,-0.40860257319658466
229.24749163879596,-0.37339690720042346
229.7324414715719,-0.3461748635694753
230.2173913043478,-0.32289787818459104
230.7023411371237,-0.29962162961857775
231.1872909698996,-0.2725333224512333
231.6722408026755,-0.23798684992474123
232.15719063545143,-0.19253556394649066
232.64214046822744,-0.13296240403292076
233.12709030100336,-0.0563071613107625
233.61204013377926,0.04010932069687987
234.09698996655516,0.15866417993417103
234.58193979933117,0.3014149475677419
235.06688963210706,0.4700854512446293
235.551839464883,0.6660552923825184
236.03678929765888,0.890352947526319
236.5217391304348,1.1436525100357466
237.0066889632107,1.426274053541205
237.4916387959866,1.7381875630162409
237.97658862876253,2.0790203433601295
238.46153846153842,2.44806777951777
238.94648829431435,2.8443072869039203
239.43143812709025,3.2664152568284957
239.91638795986614,3.7127867693136727
240.40133779264204,4.181557815781964
240.88628762541805,4.670629747153226
241.37123745819397,5.177695639491077
241.8561872909699,5.70026824999348
242.3411371237459,6.23570922126602
242.8260869565218,6.781259181806632
243.3110367892977,7.334068385722434
243.7959866220736,7.891227535029458
244.28093645484952,8.449798433493179
244.76588628762545,9.006844131754082
245.25083612040135,9.559458239233232
245.73578595317724,10.104793098724672
246.22073578595314,10.640086544202418
246.70568561872906,11.162686990699866
247.190635451505,11.670076636549672
247.67558528428088,12.159892592139531
248.16053511705678,12.629945784941892
248.6454849498328,13.078237527176583
249.1304347826087,13.50297366932473
249.6153846153846,13.902576299108304
250.1003344481605,14.275692980778022
250.58528428093652,14.621203562977191
251.07023411371244,14.938224614473087
251.55518394648834,15.226111575175027
252.04013377926424,15.484458734660228
252.52508361204013,15.713097171584366
253.01003344481606,15.912090804633984
253.49498327759198,16.081730718960504
253.97993311036788,16.222527941297916
254.46488294314378,16.33520484227741
254.94983277591967,16.420685345985923
255.4347826086956,16.48008412480963
255.91973244147152,16.51469495238531
256.4046822742474,16.52597837942734
256.88963210702343,16.515548886733754
257.3745819397993,16.485161657261028
257.8595317725752,16.436699095269095
258.3444816053511,16.37215720566107
258.82943143812713,16.293631931242594
259.314381270903,16.20330553016141
259.799331103679,16.103433060664234
260.2842809364549,15.996329025911013
260.7692307692308,15.884354218220846
261.2541806020067,15.76990279007018
261.7391304347826,15.65538956860758
262.2240802675585,15.543237621542477
262.7090301003344,15.435866075072605
263.1939799331103,15.33567817906231
263.6789297658862,15.245049610921155
264.1638795986621,15.166317007482547
264.64882943143806,15.101766713500156
265.13377926421407,15.053623736013215
265.61872909698997,15.024040895587275
266.10367892976586,15.01508816810902
266.5886287625419,15.02874221420358
267.07357859531777,15.066876097239938
267.5585284280937,15.131249195112014
268.0434782608696,15.223497315358856
268.5284280936455,15.345123027577472
269.0133779264214,15.497486231374927
269.4983277591973,15.681794982227565
269.9832775919732,15.899096601522869
270.4682274247491,16.15026910074428
270.95317725752506,16.4360129532442
271.43812709030095,16.756843250384502
271.92307692307685,17.113082282068703
272.4080267558528,17.504852584935264
272.89297658862876,17.93207050479566
273.3779264214047,18.394440323374052
273.8628762541806,18.89144900309458
274.3478260869565,19.422361607603587
274.8327759197325,19.986217459926145
275.3177257525084,20.581827104600677
275.8026755852843,21.207770144743588
276.2876254180602,21.86239402964858
276.77257525083616,22.543813873054553
277.25752508361205,23.249913386407474
277.74247491638795,23.978347015035396
278.22742474916384,24.72654336785877
278.7123745819398,25.491710032739007
279.1973244147157,26.27083986948676
279.6822742474916,27.060718870553124
280.1672240802675,27.857935675158075
280.6521739130434,28.6588928157674
281.1371237458194,29.459819766096093
281.6220735785953,30.25678784699301
282.1070234113712,31.045727030454497
282.5919732441472,31.822444662562127
283.07692307692315,32.58264610334777
283.56187290969905,33.32195725557773
284.04682274247494,34.035948925448594
284.53177257525084,34.72016292654922
285.0167224080268,35.37013980463297
285.5016722408027,35.98144802533786
285.9866220735786,36.549714430677334
286.4715719063545,37.0706557336735
286.9565217391304,37.5401107847899
287.4414715719063,37.954073309736295
287.92642140468223,38.30872478674089
288.4113712374581,38.600467103465114
288.896321070234,38.82595461033162
289.38127090301003,38.98212516904651
289.86622073578593,39.06622978336782
290.3511705685619,39.07586039442261
290.83612040133784,39.008975425720855
291.3210702341138,38.86392267390363
291.8060200668897,38.639459160468455
292.2909698996656,38.33476758733812
292.7759197324415,37.949469075043055
293.2608695652174,37.48363190615303
293.74581939799333,36.93777604787734
294.2307692307692,36.312873285693165
294.7157190635451,35.610342863522106
295.200668896321,34.832042594196054
295.6856187290969,33.980255475473605
296.17056856187287,33.05767192023639
296.65551839464877,32.067367783201924
297.1404682274248,31.012778438934877
297.6254180602007,29.897669235532945
298.11036789297657,28.726102713482
298.59531772575247,27.502403038316974
299.0802675585285,26.23111814742445
