Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,12.491847305694122
202.39464882943145,12.976063403731088
202.78929765886286,13.464038448870609
203.18394648829428,13.95432729135044
203.57859531772579,14.445388170701497
203.9732441471572,14.935586559017926
204.36789297658862,15.423199842721415
204.76254180602007,15.906422837718438
205.1571906354515,16.38337412431503
205.55183946488293,16.85210317956479
205.9464882943144,17.310598275992724
206.34113712374582,17.756795106965868
206.73578595317724,18.188586090487938
207.1304347826087,18.603830294982544
207.52508361204013,19.000363922823475
207.91973244147158,19.376011280072046
208.314381270903,19.728596154203096
208.70903010033447,20.05595351564794
209.1036789297659,20.355941453846253
209.4983277591973,20.62645325428029
209.89297658862876,20.865429519728693
210.2876254180602,21.070870236812734
210.68227424749162,21.24084668785835
211.0769230769231,21.373513108216468
211.47157190635454,21.46711799050347
211.86622073578596,21.52001493975309
212.26086956521738,21.530672987217883
212.65551839464882,21.497686275499277
213.05016722408027,21.41978303378664
213.4448160535117,21.295833769195664
213.83946488294316,21.12485860843785
214.2341137123746,20.906033733240502
214.62876254180603,20.638696862956778
215.02341137123744,20.322351748534437
215.4180602006689,19.956671653305552
215.81270903010034,19.541501807758145
216.20735785953178,19.076860837386086
216.60200668896323,18.562941174698462
216.99665551839465,18.000108478313237
217.3913043478261,17.388900093568783
217.7859531772575,16.73002260004959
218.18060200668896,16.024348501652522
218.5752508361204,15.272912124111281
218.96989966555185,14.476904793070071
219.3645484949833,13.637669372673024
219.7591973244147,12.756694250067842
220.15384615384613,11.835606855061908
220.54849498327758,10.876166806319716
220.94314381270902,9.880258775867638
221.33779264214047,8.849885162225043
221.73244147157192,7.787158659207216
222.12709030100336,6.694294802359517
222.52173913043478,5.573604568167495
222.9163879598662,4.42748709272868
223.31103678929765,3.2584225666369018
223.7056856187291,2.0689653515910376
224.10033444816054,0.8617373519230795
224.49498327759198,-0.3605783388915717
224.88963210702343,-1.5952435103526648
225.28428093645485,-2.839470633180595
225.67892976588627,-4.09042840497776
226.0735785953177,-5.345247077930836
226.46822742474916,-6.6010236157279865
