Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
202.0,42.331816086585775
202.39464882943142,43.50539062972841
202.7892976588629,44.58607829513995
203.18394648829428,45.56160742264095
203.57859531772576,46.41986976165047
203.97324414715717,47.1490486247862
204.36789297658862,47.73775199325848
204.76254180602007,48.17515025924576
205.15719063545149,48.451118237855795
205.55183946488296,48.55638094805599
205.94648829431435,48.48266243871621
206.34113712374582,48.22283661935314
206.73578595317724,47.77107864909546
207.1304347826087,47.123014953340814
207.52508361204013,46.275869394965135
207.91973244147155,45.2286025527903
208.31438127090303,43.982040488008366
208.70903010033442,42.53898884842206
209.1036789297659,40.9043277131368
209.4983277591973,39.08508226032883
209.89297658862876,37.09046419003042
210.2876254180602,34.93187889044395
210.68227424749165,32.62289363097206
211.0769230769231,30.179162619208217
211.47157190635448,27.61830558180665
211.86622073578596,24.959737616056344
212.26086956521738,22.224449390754415
212.65551839464882,19.434738317126207
213.05016722408027,16.61389301387408
213.44481605351172,13.785835192489392
213.83946488294316,10.974724916429315
214.23411371237455,8.204536959454956
214.62876254180603,5.49861761930222
215.02341137123744,2.8792327480863302
215.4180602006689,0.3671188605328956
215.81270903010034,-2.0189500952350805
216.20735785953178,-4.2625674289418205
216.60200668896323,-6.350057167788961
216.99665551839462,-8.270784264391256
217.3913043478261,-10.017400695457836
217.7859531772575,-11.586018219483769
218.18060200668896,-12.976300602819371
218.5752508361204,-14.191470511134945
218.96989966555185,-15.238228911030946
219.3645484949833,-16.126587633831942
219.75919732441469,-16.869618610655426
220.15384615384616,-17.483126080563082
220.54849498327758,-17.98525068907316
220.94314381270902,-18.396016725952578
221.33779264214047,-18.736835703722857
221.73244147157192,-19.02998097195223
222.12709030100334,-19.298049036319586
222.52173913043475,-19.563423666207115
222.91638795986623,-19.847758713492667
223.31103678929765,-20.171494834624863
223.7056856187291,-20.553424036595832
224.10033444816054,-21.01031420435155
224.49498327759198,-21.556603579964587
224.8896321070234,-22.204172635176032
225.28428093645482,-22.96219800305075
225.6789297658863,-23.837090213890924
226.0735785953177,-24.832514021899335
226.46822742474916,-25.949487219665976
226.8628762541806,-27.186551121695942
227.25752508361205,-28.540003454016972
227.65217391304347,-30.004182303209603
228.0468227424749,-31.57178813184017
228.44147157190636,-33.2342297206235
228.83612040133778,-34.98197929657641
229.23076923076923,-36.804922078442
229.62541806020067,-38.69268602355577
230.02006688963212,-40.634938681067766
230.41471571906354,-42.621639710761805
230.80936454849495,-44.643239759146375
231.2040133779264,-46.69081891911213
231.59866220735785,-48.756160841532804
231.9933110367893,-50.83176160556349
232.38795986622074,-52.91077556492474
232.7826086956522,-54.98690343736681
233.1772575250836,-57.05423075744194
233.57190635451502,-59.107027334852404
233.96655518394647,-61.13952042689316
234.36120401337791,-63.14565583425871
234.75585284280936,-65.11886197691828
235.1505016722408,-67.05183214072724
235.54515050167225,-68.93633947826982
235.93979933110367,-70.76309800727803
236.3344481605351,-72.52168082247994
236.72909698996654,-74.20050410446933
237.12374581939798,-75.78688238907206
237.51839464882943,-77.26715709896158
237.91304347826087,-78.62689670468696
238.30769230769232,-79.85116325732015
238.70234113712374,-80.9248366059137
239.0969899665552,-81.8329845594854
239.4916387959866,-82.56126473761351
239.88628762541808,-83.09634201115588
240.2809364548495,-83.4263043649213
240.67558528428094,-83.54105977543566
241.0702341137124,-83.43269730196613
241.4648829431438,-83.09579700406819
241.85953177257522,-82.52767544622559
242.25418060200667,-81.72855631233152
242.64882943143814,-80.70165888047325
243.04347826086956,-79.45320062952713
243.438127090301,-77.99231387911064
243.83277591973246,-76.33087991807102
244.22742474916384,-74.48328737831872
244.6220735785953,-72.46612450466375
245.01672240802674,-70.29781732967861
245.4113712374582,-67.99822749205536
245.8060200668897,-65.58822448205501
246.20066889632108,-63.08924744229478
246.59531772575252,-60.52287131793534
246.9899665551839,-57.91039119331011
247.38461538461536,-55.27243715695182
247.7792642140468,-52.62863011057861
248.17391304347828,-49.99728670099756
248.56856187290975,-47.39517913460622
248.96321070234114,-44.8373531586146
249.3578595317726,-42.33700507970057
249.75250836120398,-39.905416444289045
250.14715719063543,-37.5519430117781
250.54180602006687,-35.284052978796254
250.93645484949835,-33.107408102756835
251.33110367892982,-31.02598044847314
251.7257525083612,-29.0421969435236
252.12040133779266,-27.157103759277774
252.51505016722405,-25.370542702547116
252.9096989966555,-23.68133226346964
253.30434782608694,-22.087446666109923
253.6989966555184,-20.586187152414638
254.09364548494986,-19.17434073946933
254.48829431438125,-17.848322767935635
254.88294314381272,-16.60430065369088
255.2775919732441,-15.438297318439293
255.67224080267556,-14.34627376898315
256.066889632107,-13.324191187326548
256.46153846153845,-12.368053661305416
256.85618729096996,-11.473933312438948
257.25083612040135,-10.637980056012806
257.6454849498328,-9.856418556675878
258.0401337792642,-9.12553512551842
258.4347826086956,-8.44165735111241
258.8294314381271,-7.801129180690187
259.2240802675585,-7.200283984832083
259.61872909699,-6.63541786815794
260.0133779264214,-6.102765149191261
260.40802675585286,-5.598477544928385
260.80267558528425,-5.118608179601905
261.1973244147157,-4.659101111813998
261.59197324414714,-4.215786657453942
261.9866220735786,-3.7843823937176366
262.3812709030101,-3.3604993761248356
262.7759197324415,-2.9396527973897757
263.1705685618729,-2.5172760735004593
263.5652173913043,-2.0887371649754236
263.95986622073576,-1.649355833949987
264.3545150501672,-1.1944205019741039
264.74916387959865,-0.7192034083179217
265.14381270903016,-0.21897287129200196
265.53846153846155,0.3109983790191835
265.933110367893,0.8754296051100227
266.3277591973244,1.479033738634796
266.72240802675583,2.1265245483566875
267.1170568561873,2.82262916794575
267.5117056856187,3.572105475004408
267.9063545150502,4.379763417534213
268.3010033444816,5.250488979503434
268.69565217391306,6.189269072409745
269.0903010033445,7.201215244855067
269.4849498327759,8.291583728551364
269.87959866220734,9.465789000087547
270.2742474916388,10.729407748625091
270.6688963210703,12.088169918366473
271.0635451505017,13.547933361567045
271.4581939799331,15.114638615681471
271.8528428093646,16.794240431129776
272.24749163879596,18.592612948679648
272.6421404682274,20.515425880953718
273.03678929765886,22.567989711176313
273.43143812709036,24.755068798503014
273.82608695652175,27.08066237935559
274.2207357859532,29.547754773525714
274.61538461538464,32.15803762442244
275.01003344481603,34.911608691352825
275.4046822742475,37.806653518020376
275.7993311036789,40.839118158281146
276.1939799331104,44.00238296402812
276.5886287625418,47.28694913315056
276.98327759197326,50.680151169469845
277.3779264214047,54.165909507491484
277.7725752508361,57.724538189469
278.16722408026754,61.33262254545352
278.561872909699,64.96298122943129
278.9565217391305,68.58472564111973
279.3511705685619,72.16342767992319
279.74581939799333,75.66140393961555
280.1404682274248,79.03812090720749
280.53511705685617,82.25072157046425
280.9297658862876,85.25466920423321
281.32441471571906,88.00449917671587
281.71906354515056,90.4546646090344
282.11371237458195,92.56045687662795
282.5083612040134,94.27897751428787
282.90301003344484,95.5701343320825
283.29765886287623,96.39763170443632
283.6923076923077,96.72992326404268
284.0869565217391,96.54109477355172
284.4816053511706,95.81164585829117
284.87625418060196,94.5291415899854
285.27090301003346,92.68870856654287
285.6655518394649,90.29335501225083
286.0602006688963,87.35410033000427
286.45484949832775,83.88990621359217
286.8494983277592,79.92740856571906
287.24414715719064,75.50045672694596
287.63879598662203,70.64947355123036
288.03344481605353,65.42065632404741
288.428093645485,59.865044098532636
288.82274247491637,54.03748146260587
289.2173913043478,47.99551184976837
289.61204013377926,41.79823514881983
290.0066889632107,35.50516451637641
290.4013377926421,29.175115996824157
290.7959866220736,22.86516193100931
291.19063545150505,16.62967537848038
291.58528428093643,10.519488131937244
291.9799331103679,4.581179645172412
292.3745819397993,-1.1434913790646806
292.7692307692308,-6.618006597259259
293.16387959866216,-11.811358047597674
293.55852842809367,-16.698172696830067
293.9531772575251,-21.258699862375945
294.3478260869565,-25.478673326040216
294.74247491638795,-29.349062581243963
295.1371237458194,-32.86572943420708
295.53177257525084,-36.02900715531626
295.92642140468223,-38.84321963645474
296.32107023411373,-41.316157670190435
296.7157190635452,-43.458528661649304
297.11036789297657,-45.283394952317344
297.505016722408,-46.805614607909675
297.89966555183946,-48.04129711321435
298.2943143812709,-49.00728501367214
298.68896321070235,-49.720671205064136
299.0836120401338,-50.19836032700154
299.47826086956525,-50.45668156190563
299.87290969899664,-50.511059053423445
300.2675585284281,-50.37574509338576
300.66220735785953,-50.06362013130826
301.056856187291,-49.58606248046383
301.4515050167224,-48.95288928219964
301.8461538461538,-48.17236881235314
302.2408026755853,-47.25130255771975
302.6354515050167,-46.195173668180175
303.03010033444815,-45.008356438966985
303.4247491638796,-43.69437946041227
303.81939799331104,-42.25623307416194
304.2140468227425,-40.696709896883505
304.6086956521739,-39.018765526394304
305.0033444816054,-37.22588524416885
305.39799331103677,-35.3224416787362
305.7926421404682,-33.31402808750615
306.18729096989966,-31.20775221773025
306.5819397993311,-29.01247665839314
306.97658862876256,-26.73899319713647
307.37123745819395,-24.400120916055236
307.76588628762545,-22.010720526529152
308.16053511705684,-19.58762065074527
308.5551839464883,-17.149455271098606
308.94983277591973,-14.716415230479242
309.3444816053512,-12.30992030478537
309.7391304347826,-9.95222180800053
310.133779264214,-7.665948760080112
310.5284280936455,-5.473613195153753
310.9230769230769,-3.397092083928177
311.31772575250835,-1.4571044943242786
311.7123745819398,0.3272970385573757
312.10702341137124,1.9392024333768259
312.5016722408027,3.364270037450348
312.8963210702341,4.591087405927167
313.2909698996656,5.61145424460114
313.685618729097,6.420577974521803
314.0802675585284,7.017175812027005
314.47491638795987,7.403480864624542
314.8695652173913,7.585153353244854
315.26421404682276,7.571101523080166
315.65886287625415,7.3732199515107135
316.05351170568565,7.006055677197994
316.44816053511704,6.486414761040447
316.8428093645485,5.832923479609587
317.23745819397993,5.065559309225264
317.6321070234114,4.20516717997161
318.0267558528428,3.272976189250309
318.4214046822742,2.290131115548332
318.8160535117057,1.2772517380133783
319.2107023411371,0.25403123536779293
319.60535117056855,-0.7611170917218355
320.0,-1.751357753057534
