Wavelength(nm),Delta_epsilon(M^-1 cm^-1)
205.0,-63.717335410217636
205.4849498327759,-68.88338810648642
205.9698996655518,-74.4605057704817
206.4548494983277,-80.46418419479843
206.9397993311037,-86.89424526325844
207.4247491638796,-93.72454169399332
207.90969899665558,-100.89215032964509
208.39464882943147,-108.28795027555181
208.87959866220737,-115.75016045123375
209.36454849498327,-123.06167444083076
209.84949832775916,-129.951507975472
210.33444816053506,-136.10091948525647
210.81939799331107,-141.15575677764113
211.30434782608697,-144.74753273013593
211.78929765886295,-146.52539547101307
212.27424749163885,-146.1985971028484
212.75919732441474,-143.58449338262386
213.24414715719064,-138.65224568457498
213.72909698996654,-131.54987288611233
214.21404682274243,-122.60418343411477
214.69899665551833,-112.28947356427237
215.18394648829434,-101.16948385138208
215.66889632107024,-89.82464374917501
216.15384615384622,-78.78042890296437
216.6387959866221,-68.45170977502724
217.123745819398,-59.11293454607482
217.6086956521739,-50.89666170037436
218.0936454849498,-43.81572418335344
218.5785953177257,-37.79942520613832
219.06354515050168,-32.73289166832922
219.5484949832776,-28.490777730262383
220.0334448160535,-24.960416919317105
220.51839464882949,-22.05344319983669
221.00334448160538,-19.70758605133111
221.48829431438128,-17.8814728526154
221.97324414715717,-16.54524924501207
222.45819397993307,-15.669296069296278
222.94314381270897,-15.212750871400997
223.42809364548498,-15.113099936582557
223.91304347826087,-15.277758880219032
224.39799331103686,-15.578249289526152
224.88294314381275,-15.847342766835784
225.36789297658865,-15.879504419426786
225.85284280936455,-15.435218472136416
226.33779264214044,-14.250240616643598
226.82274247491634,-12.05117469745629
227.30769230769232,-8.578520504065926
227.79264214046822,-3.6170249319266032
228.2775919732441,2.9693263023336414
228.76254180602012,11.203494939726466
229.24749163879602,20.971160625290416
229.73244147157192,32.01493148466172
230.2173913043478,43.95305290127995
230.7023411371237,56.32280641420103
231.1872909698996,68.6415879331863
231.67224080267562,80.47281638924024
232.1571906354515,91.48185403210198
232.64214046822747,101.47009440570325
233.1270903010034,110.38220719283399
233.6120401337793,118.28929911037866
234.09698996655518,125.35622863624174
234.58193979933108,131.80279253163357
235.06688963210698,137.86652572641995
235.55183946488296,143.77138576302767
236.03678929765886,149.7035445617242
236.52173913043475,155.79382084275437
237.00668896321076,162.10587317309452
237.49163879598666,168.62949737711787
237.97658862876256,175.27854232935883
238.46153846153845,181.8926756264486
238.94648829431435,188.24154638736647
239.43143812709025,194.0292838927872
239.91638795986626,198.89742855721096
240.40133779264215,202.4258553884034
240.8862876254181,204.13401640614484
241.371237458194,203.48811200815024
241.85618729096993,199.9220944875583
242.34113712374582,192.87990791588786
242.82608695652172,181.88178234716747
243.31103678929762,166.60896764789686
243.7959866220736,146.99151237732843
244.2809364548495,123.27687984722198
244.7658862876254,96.05746618747418
245.2508361204014,66.2437560859866
245.7357859531773,34.984171209826854
246.2207357859532,3.5470863410356523
246.7056856187291,-26.81045169486233
247.190635451505,-54.96191717725045
247.67558528428088,-79.99967775298016
248.1605351170569,-101.28437093441016
248.6454849498328,-118.45696750870086
249.13043478260875,-131.42109344473036
249.61538461538464,-140.30468094120397
250.10033444816054,-145.4091091542839
250.58528428093646,-147.1530094762862
251.07023411371236,-146.01765333322123
251.55518394648826,-142.50041431576935
252.04013377926424,-137.08098276266762
252.52508361204013,-130.2016957965541
253.01003344481603,-122.25973548808952
253.49498327759204,-113.606626953669
253.97993311036794,-104.5502715815936
254.46488294314383,-95.35632446756807
254.94983277591973,-86.24794553788186
255.43478260869563,-77.40471753211975
255.91973244147152,-68.96228372382451
256.40468227424753,-61.014056115603736
256.88963210702343,-53.61555445884708
257.3745819397993,-46.7910098034432
257.8595317725753,-40.541179175291774
258.3444816053512,-34.851076417327675
258.8294314381271,-29.69652670059115
259.314381270903,-25.048932762653155
259.7993311036789,-20.87817260383253
260.2842809364549,-17.15394579814123
260.7692307692308,-13.846062746542145
261.25418060200667,-10.924150214199448
261.7391304347827,-8.357129264037397
262.2240802675586,-6.1127292739238985
262.7090301003345,-4.157291624333357
263.19397993311037,-2.456127963270319
263.67892976588627,-0.9745964503671224
264.16387959866216,0.3202192714141996
264.6488294314381,1.4576840804812599
265.133779264214,2.4622649943057966
265.61872909698997,3.3531443023820904
266.1036789297659,4.144879135813405
266.5886287625418,4.848788815722926
267.0735785953177,5.47455057942851
267.5585284280936,6.031555352459387
268.0434782608695,6.529827753888803
268.5284280936455,6.98058563545126
269.0133779264214,7.396666590922105
269.4983277591973,7.793026585893571
269.9832775919733,8.18735145332842
270.4682274247492,8.600610071849633
270.9531772575251,9.057239688682019
271.438127090301,9.584689338518501
271.9230769230769,10.212272323033433
272.4080267558528,10.9695803550861
272.8929765886288,11.884893928233707
273.3779264214047,12.983949263493011
273.8628762541806,14.289142493821629
274.34782608695656,15.818978887742636
274.83277591973246,17.58751230961046
275.31772575250835,19.60370352762244
275.80267558528425,21.870907679408287
276.2876254180602,24.38686439033339
276.77257525083616,27.144468618747094
277.25752508361205,30.133274029234116
277.74247491638795,33.34130990151836
278.22742474916396,36.75661273881629
278.71237458193986,40.368021810336195
279.19732441471575,44.165211352550344
279.68227424749165,48.13841379401384
280.16722408026754,52.27856944181149
280.65217391304344,56.57856118238986
281.1371237458194,61.03577692135681
281.6220735785953,65.65565975874598
282.1070234113712,70.4553964560111
282.5919732441472,75.4666696640983
283.0769230769231,80.73655616565912
283.561872909699,86.3261318509183
284.0468227424749,92.30695734615185
284.5317725752508,98.75614717210267
285.0167224080267,105.75100909604342
285.5016722408027,113.36421167650786
285.9866220735786,121.6601184745343
286.4715719063546,130.69241076080596
286.9565217391305,140.50254526431962
287.4414715719064,151.11810639405417
287.9264214046823,162.5498424558154
288.4113712374582,174.7862211795885
288.8963210702341,187.7847457918384
289.3812709030101,201.4599903742242
289.866220735786,215.66918899325563
290.3511705685619,230.19704438135383
290.83612040133784,244.74205576324948
291.32107023411373,258.90706742048127
291.80602006688963,272.1969741931801
292.2909698996655,284.0266234012529
292.7759197324414,293.7417378467735
293.2608695652173,300.65465012375756
