Wavelength(nm),Δε_Gaussian
202,45.1724874279754
202.394648829431,46.5777300202264
202.789297658863,47.8652250177673
203.183946488294,49.0206766341282
203.578595317726,50.0302813971805
203.973244147157,50.8809070743263
204.367892976589,51.5602725859334
204.76254180602,52.0571265099057
205.157190635451,52.3614216399577
205.551839464883,52.4644829395867
205.946488294314,52.3591661376379
206.341137123746,52.0400041452866
206.735785953177,51.5033384444572
207.130434782609,50.7474326108971
207.52508361204,49.772565198246
207.919732441472,48.5810993292302
208.314381270903,47.1775265227393
208.709030100334,45.5684825360855
209.103678929766,43.7627333238017
209.498327759197,41.7711296094876
209.892976588629,39.6065290346412
210.28762541806,37.2836853845914
210.682274247492,34.8191049899842
211.076923076923,32.2308710531572
211.471571906354,29.5384373393332
211.866220735786,26.7623933872323
212.260869565217,23.9242041140817
212.655518394649,21.0459273956794
213.05016722408,18.1499138712146
213.444816053512,15.2584938322388
213.839464882943,12.3936565829715
214.234113712375,9.5767280833614
214.628762541806,6.82805298739379
215.023411371237,4.1666873501574
215.418060200669,1.61010828504139
215.8127090301,-0.826053301609212
216.207357859532,-3.12825109072349
216.602006688963,-5.28522752151212
216.996655518395,-7.28817906925557
217.391304347826,-9.13087872951823
217.785953177257,-10.8097527172904
218.180602006689,-12.3239094003388
218.57525083612,-13.6751195712773
218.969899665552,-14.8677482917691
219.364548494983,-15.9086396817236
219.759197324415,-16.8069571421838
220.153846153846,-17.5739825586828
220.548494983278,-18.2228789994848
220.943143812709,-18.76842227015
221.33779264214,-19.2267073858818
221.732441471572,-19.614836554449
222.127090301003,-19.9505956090097
222.521739130435,-20.2521259820097
222.916387959866,-20.5375992651177
223.311036789298,-20.8249011592856
223.705685618729,-21.1313311934239
224.100334448161,-21.473323995993
224.494983277592,-21.8661971627575
224.889632107023,-22.3239299024719
225.284280936455,-22.8589756905449
225.678929765886,-23.4821111515251
226.073578595318,-24.2023223586613
226.468227424749,-25.0267287169889
226.862876254181,-25.9605436183727
227.257525083612,-27.0070701532839
227.652173913043,-28.1677293619364
228.046822742475,-29.4421178294798
228.441471571906,-30.8280908937903
228.836120401338,-32.3218673519035
229.230769230769,-33.9181513281519
229.625418060201,-35.6102669034154
230.020066889632,-37.3903011944826
230.414715719064,-39.2492518037566
230.809364548495,-41.1771749159427
231.204013377926,-43.1633307793152
231.598662207358,-45.1963238508865
231.993311036789,-47.2642354812973
232.387959866221,-49.3547476394759
232.782608695652,-51.4552568020178
233.177257525084,-53.552977731856
233.571906354515,-55.6350374212949
233.966555183946,-57.6885599549445
234.361204013378,-59.7007434414429
234.755852842809,-61.6589304562248
235.150501672241,-63.5506736229173
235.545150501672,-65.3637980350049
235.939799331104,-67.086462183885
236.334448160535,-68.707218920721
236.729096989967,-70.215077748181
237.123745819398,-71.5995694286147
237.518394648829,-72.8508135247732
237.913043478261,-73.9595890773807
238.307692307692,-74.9174081915477
238.702341137124,-75.7165918724334
239.096989966555,-76.3503470404545
239.491638795987,-76.8128432870555
239.886287625418,-77.099287620837
240.280936454849,-77.2059952150572
240.675585284281,-77.130454012224
241.070234113712,-76.8713809769538
241.464882943144,-76.4287678178455
241.859531772575,-75.8039141220972
242.254180602007,-74.9994460584764
242.648829431438,-74.0193190968524
243.04347826087,-72.8688035545473
243.438127090301,-71.5544521972794
243.832775919732,-70.0840495795465
244.227424749164,-68.466543288707
244.622073578595,-66.7119577409514
245.016722408027,-64.8312916482136
245.411371237458,-62.8364007160684
245.80602006689,-60.7398675285363
246.200668896321,-58.5548609132532
246.595317725753,-56.2949873489415
246.989966555184,-53.9741371686325
247.384615384615,-51.6063284217983
247.779264214047,-49.205551284673
248.173913043478,-46.78561585185
248.56856187291,-44.3600060079126
248.963210702341,-41.9417418720847
249.357859531773,-39.543253040665
249.752508361204,-37.1762645320462
250.147157190635,-34.8516969794427
250.541806020067,-32.5795822298992
250.936454849498,-30.3689951077588
251.33110367893,-28.2280016994657
251.725752508361,-26.1636241264882
252.120401337793,-24.1818214054556
252.515050167224,-22.2874856589784
252.909698996655,-20.4844526451467
253.304347826087,-18.7755253245965
253.698996655518,-17.1625089855809
254.09364548495,-15.6462563020592
254.488294314381,-14.226720607883
254.882943143813,-12.9030156304712
255.277591973244,-11.673479937072
255.672240802676,-10.5357444016737
256.066889632107,-9.48680109559407
256.461538461538,-8.52307213372195
256.85618729097,-7.64047716475833
257.250836120401,-6.83449837080615
257.645484949833,-6.10024203252659
258.040133779264,-5.43249591426981
258.434782608696,-4.82578192302587
258.829431438127,-4.27440369024306
259.224080267558,-3.77248891176066
259.61872909699,-3.314026454354
260.013377926421,-2.89289839455674
260.408026755853,-2.50290729423439
260.802675585284,-2.13779913634065
261.197324414716,-1.79128244265415
261.591973244147,-1.45704417297558
261.986622073579,-1.1287630627204
262.38127090301,-0.800121093978213
262.775919732441,-0.46481381514463
263.170568561873,-0.116560227614355
263.565217391304,0.250887053705502
263.959866220736,0.64373068457778
264.354515050167,1.06811587615207
264.749163879599,1.53011548405464
265.14381270903,2.03571236315253
265.538461538462,2.59077851520303
265.933110367893,3.20105063011713
266.327759197324,3.87210170203625
266.722408026756,4.60930848832397
267.117056856187,5.41781467248313
267.511705685619,6.30248969055189
267.90635451505,7.26788328429483
268.301003344482,8.31817595302011
268.695652173913,9.45712558847239
269.090301003345,10.6880106931541
269.484949832776,12.0135707005186
269.879598662207,13.4359440343787
270.274247491639,14.9566046628935
270.66889632107,16.5762980176156
271.063545150502,18.2949772579757
271.458193979933,20.1117409636343
271.852842809365,22.0247734285072
272.247491638796,24.0312888079474
272.642140468227,26.1274804314394
273.036789297659,28.3084766341321
273.43143812709,30.5683044786306
273.826086956522,32.8998627309093
274.220735785953,35.2949054185997
274.615384615385,37.7440372342981
275.010033444816,40.236721949549
275.404682274247,42.761304876101
275.799331103679,45.3050502499672
276.19397993311,47.8541942216715
276.588628762542,50.3940139146101
276.983277591973,52.9089127654003
277.377926421405,55.3825220890465
277.772575250836,57.7978185221917
278.167224080268,60.137256694907
278.561872909699,62.3829161714061
278.95652173913,64.516661389322
279.351170568562,66.5203130227536
279.745819397993,68.3758289034627
280.140468227425,70.0654923647334
280.535117056856,71.5721056307296
280.929765886288,72.8791856675854
281.324414715719,73.9711597473258
281.719063545151,74.8335578576315
282.113712374582,75.4531990241487
282.508361204013,75.8183686010707
282.903010033445,75.9189836324633
283.297658862876,75.7467434922595
283.692307692308,75.2952631746113
284.086956521739,74.5601868264756
284.481605351171,73.5392793876274
284.876254180602,72.2324945250109
285.270903010033,70.6420174124554
285.665551839465,68.7722813061057
286.060200668896,66.629957292275
286.454849498328,64.2239170288416
286.849498327759,61.5651687542332
287.244147157191,58.6667672896274
287.638795986622,55.5436992003113
288.033444816054,52.2127447014972
288.428093645485,48.692318283041
288.822742474916,45.0022903779178
289.217391304348,41.1637927034346
289.612040133779,37.1990101555392
290.006688963211,33.1309623301191
290.401337792642,28.9832778771987
290.795986622074,24.7799649622899
291.190635451505,20.5451811132804
291.585284280936,16.3030056720959
291.979933110368,12.0772179505521
292.374581939799,7.89108401318946
292.769230769231,3.7671547817408
293.163879598662,-0.272922117402796
293.558528428094,-4.20857465247445
293.953177257525,-8.02046106299525
294.347826086956,-11.6906055066199
294.742474916388,-15.2025136435584
295.137123745819,-18.5412675042743
295.531772575251,-21.6935993595638
295.926421404682,-24.6479446725271
296.321070234114,-27.3944745518661
296.715719063545,-29.9251084387404
297.110367892977,-32.2335080394263
297.505016722408,-34.3150537586031
297.899665551839,-36.1668050898591
298.294314381271,-37.7874465786888
298.688963210702,-39.1772210878359
299.083612040134,-40.3378521654614
299.478260869565,-41.2724573445658
299.872909698997,-41.9854541896542
300.267558528428,-42.4824608570189
300.66220735786,-42.770192852211
301.056856187291,-42.8563575568936
301.451505016722,-42.7495479623962
301.846153846154,-42.4591368942784
302.240802675585,-41.9951728465978
302.635451505017,-41.3682783717915
303.030100334448,-40.589551797448
303.42474916388,-39.6704728697041
303.819397993311,-38.6228127590727
304.214046822742,-37.458548712166
304.608695652174,-36.1897834953424
305.003344481605,-34.8286696564366
305.397993311037,-33.3873385303361
305.792642140468,-31.8778338344248
306.1872909699,-30.3120496412901
306.581939799331,-28.7016724783113
306.976588628763,-27.0581272859412
307.371237458194,-25.3925269671633
307.765886287625,-23.7156252777857
308.160535117057,-22.0377728384986
308.555183946488,-20.3688760922916
308.94983277592,-18.718359081951
309.344481605351,-17.0951279789098
309.739130434783,-15.5075383536517
310.133779264214,-13.9633652362294
310.528428093646,-12.4697760704517
310.923076923077,-11.0333067144075
311.317725752508,-9.65984068102706
311.71237458194,-8.35459184351706
312.107023411371,-7.12209085033656
312.501672240803,-5.96617550197171
312.896321070234,-4.88998533661997
313.290969899666,-3.89596065397992
313.685618729097,-2.98584617607205
314.080267558528,-2.16069950221098
