Wavelength(nm),Δε_Gaussian
202,48.2322427084418
202.394648829431,49.5804966328655
202.789297658863,50.7761382493384
203.183946488294,51.8025797286548
203.578595317726,52.6440489971912
203.973244147157,53.2858146936295
204.367892976589,53.7144036512823
204.76254180602,53.9178065522262
205.157190635451,53.8856674588475
205.551839464883,53.6094530918157
205.946488294314,53.0825979916618
206.341137123746,52.3006220719059
206.735785953177,51.2612175400314
207.130434782609,49.9643027205821
207.52508361204,48.4120409515585
207.919732441472,46.6088234277673
208.314381270903,44.5612156172141
208.709030100334,42.2778676614544
209.103678929766,39.7693899689594
209.498327759197,37.0481960019759
209.892976588629,34.1283150215727
210.28762541806,31.0251782722517
210.682274247492,27.7553827370885
211.076923076923,24.3364371586419
211.471571906354,20.786495483522
211.866220735786,17.1240832356581
212.260869565217,13.367822543963
212.655518394649,9.53616163650165
213.05016722408,5.64711456120519
213.444816053512,1.71801670207387
213.839464882943,-2.23469866713143
214.234113712375,-6.19569800568013
214.628762541806,-10.1509150937626
215.023411371237,-14.0876850539582
215.418060200669,-17.9948420434757
215.8127090301,-21.862778693321
216.207357859532,-25.683466259275
216.602006688963,-29.4504353664064
216.996655518395,-33.1587181514803
217.391304347826,-36.8047535137613
217.785953177258,-40.3862580525971
218.180602006689,-43.9020660792166
218.57525083612,-47.3519428213798
218.969899665552,-50.7363755760195
219.364548494983,-54.0563480922948
219.759197324415,-57.3131038738242
220.153846153846,-60.5079043654228
220.548494983278,-63.6417881306314
220.943143812709,-66.7153371289875
221.33779264214,-69.7284560666266
221.732441471572,-72.6801705237262
222.127090301003,-75.5684491635411
222.521739130435,-78.3900548090398
222.916387959866,-81.1404285454985
223.311036789298,-83.8136102840602
223.705685618729,-86.402198417333
224.100334448161,-88.897350330247
224.494983277592,-91.2888246156435
224.889632107023,-93.5650649033892
225.284280936455,-95.7133242639178
225.678929765886,-97.7198282119993
226.073578595318,-99.5699734343515
226.468227424749,-101.248558515126
226.862876254181,-102.740042155436
227.257525083612,-104.028823694859
227.652173913043,-105.099540160848
228.046822742475,-105.937373610767
228.441471571906,-106.528362203354
228.836120401338,-106.859708251526
229.230769230769,-106.920076473399
229.625418060201,-106.69987577681
230.020066889632,-106.191518184462
230.414715719064,-105.389648928476
230.809364548495,-104.291342307235
231.204013377926,-102.896258592766
231.598662207358,-101.206758088868
231.993311036789,-99.22796935065
232.387959866221,-96.9678095640782
232.782608695652,-94.4369561260209
233.177257525084,-91.6487695357612
233.571906354515,-88.6191687813175
233.966555183946,-85.3664614511887
234.361204013378,-81.9111317974706
234.755852842809,-78.2755908941089
235.150501672241,-74.4838938506148
235.545150501672,-70.5614297358559
235.939799331104,-66.5345904208813
236.334448160535,-62.4304249503577
236.729096989967,-58.2762862897402
237.123745819398,-54.0994773650541
237.518394648829,-49.9269032142728
237.913043478261,-45.784735808668
238.307692307692,-41.6980976887515
238.702341137124,-37.6907700063872
239.096989966555,-33.7849298899406
239.491638795987,-30.0009212738079
239.886287625418,-26.3570624805828
240.280936454849,-22.8694929384464
240.675585284281,-19.5520604838819
241.070234113712,-16.4162497663205
241.464882943144,-13.4711513617429
241.859531772575,-10.7234703399708
242.254180602007,-8.1775722364298
242.648829431438,-5.83556367174667
243.04347826087,-3.69740425649255
243.438127090301,-1.76104592489043
243.832775919732,-0.0225954676779519
244.227424749164,1.52350421602844
244.622073578595,2.88427875546866
245.016722408027,4.06801744972237
245.411371237458,5.0840634269581
245.80602006689,5.94260312973653
246.200668896321,6.6544591407094
246.595317725753,7.23088999407766
246.989966555184,7.68340018952102
247.384615384615,8.02356315299981
247.779264214047,8.26285938891169
248.173913043478,8.412531556174
248.56856187291,8.48345769158134
248.963210702341,8.48604331062756
249.357859531773,8.43013265061231
249.752508361204,8.32493889313439
250.147157190635,8.17899282084057
250.541806020067,8.00010903229422
250.936454849498,7.79536856271694
251.33110367893,7.57111653880449
251.725752508361,7.33297333263838
252.120401337793,7.08585757105986
252.515050167224,6.83401929946495
252.909698996655,6.58108158837037
253.304347826087,6.3300889019414
253.698996655518,6.08356061398016
254.09364548495,5.84354815230767
254.488294314381,5.61169437056717
254.882943143813,5.38929388087395
255.277591973244,5.17735322537654
255.672240802676,4.97664991407243
256.066889632107,4.78778950511824
256.461538461538,4.61126004804203
256.85618729097,4.44748334608537
257.250836120401,4.29686261851054
257.645484949833,4.15982625498745
258.040133779264,4.03686745073521
258.434782608696,3.92857959221422
258.829431438127,3.83568732874368
259.224080267558,3.75907331588803
259.61872909699,3.69980065270756
260.013377926421,3.65913105827282
260.408026755853,3.63853884476232
260.802675585284,3.63972074677923
261.197324414716,3.66460166115518
261.591973244147,3.71533634045835
261.986622073579,3.79430706869875
262.38127090301,3.90411733130943
262.775919732441,4.04758147527504
263.170568561873,4.2277103410668
263.565217391304,4.4476928374666
263.959866220736,4.71087342489363
264.354515050167,5.02072547376811
264.749163879599,5.38082047283742
265.14381270903,5.79479307910616
265.538461538462,6.26630202668422
265.933110367893,6.7989869468805
266.327759197324,7.39642119636216
266.722408026756,8.06206084404749
267.117056856187,8.79919003022074
267.511705685619,9.61086298248709
267.90635451505,10.4998430517054
268.301003344482,11.468539215735
268.695652173913,12.5189405882537
269.090301003344,13.6525495623099
269.484949832776,14.8703143117122
269.879598662207,16.1725614656322
270.274247491639,17.558929860534
270.66889632107,19.02830635622
271.063545150502,20.578764776742
271.458193979933,22.2075090994976
271.852842809364,23.9108220643017
272.247491638796,25.6840204059783
272.642140468227,27.5214179265785
273.036789297659,29.416297614417
273.43143812709,31.3608939847696
273.826086956522,33.3463867596598
274.220735785953,35.36290692054
274.615384615385,37.3995560571563
275.010033444816,39.4444397984119
275.404682274247,41.4847159471365
275.799331103679,43.5066577515229
276.19397993311,45.4957325335031
276.588628762542,47.4366956610532
276.983277591973,49.3136996006256
277.377926421405,51.1104175214852
277.772575250836,52.810180650198
278.167224080268,54.3961282959204
278.561872909699,55.8513691909306
278.95652173913,57.1591525218696
279.351170568562,58.3030467714083
279.745819397993,59.2671242536577
280.140468227425,60.0361490155988
280.535117056856,60.5957655969319
280.929765886288,60.9326859974559
281.324414715719,61.0348720992516
281.71906354515,60.891710734781
282.113712374582,60.4941785848702
282.508361204013,59.8349941348753
282.903010033445,58.9087540145013
283.297658862876,57.7120511970188
283.692307692308,56.2435727360758
284.086956521739,54.504174970804
284.481605351171,52.4969344291437
284.876254180602,50.2271730007801
285.270903010033,47.7024563292091
285.665551839465,44.9325647806895
286.060200668896,41.9294367787458
286.454849498328,38.7070847383579
286.849498327759,35.2814842853391
287.244147157191,31.6704378946974
287.638795986622,27.8934145178701
288.033444816053,23.9713671836396
288.428093645485,19.9265309425322
288.822742474916,15.7822038714453
289.217391304348,11.5625141566449
289.612040133779,7.29217652261376
290.006688963211,2.99624146602945
290.401337792642,-1.30015911583405
290.795986622074,-5.57206624768798
291.190635451505,-9.79494449614756
291.585284280936,-13.9449253006294
291.979933110368,-17.9990395611524
292.374581939799,-21.9354362234921
292.769230769231,-25.7335838548103
293.163879598662,-29.3744525083796
293.558528428094,-32.8406735278987
293.953177257525,-36.1166753327917
294.347826086956,-39.1887936476223
294.742474916388,-42.0453550826716
295.137123745819,-44.6767334296993
295.531772575251,-47.075378497772
295.926421404682,-49.2358177696089
296.321070234114,-51.1546316003472
296.715719063545,-52.8304030995333
297.110367892977,-54.2636442258145
297.505016722408,-55.4566999752928
297.899665551839,-56.4136328528682
298.294314381271,-57.1400900762419
298.688963210702,-57.6431561708091
299.083612040134,-57.931193767893
299.478260869565,-58.0136755173099
299.872909698997,-57.9010100679382
300.267558528428,-57.6043650578441
300.66220735786,-57.135489990665
301.056856187291,-56.5065417605269
301.451505016722,-55.7299154277736
301.846153846154,-54.8180826470298
302.240802675585,-53.783439913042
302.635451505017,-52.6381685242762
303.030100334448,-51.3941078756807
303.42474916388,-50.0626433868191
303.819397993311,-48.6546100562521
304.214046822742,-47.1802123140311
304.608695652174,-45.6489605276488
305.003344481605,-44.0696242086289
305.397993311037,-42.4502016725305
305.792642140468,-40.7979056293562
306.1872909699,-39.1191639284475
306.581939799331,-37.4196344555216
306.976588628762,-35.704232982442
307.371237458194,-33.9771726048121
307.765886287625,-32.2420132699873
308.160535117057,-30.5017197993763
308.555183946488,-28.7587267440214
308.94983277592,-27.0150083808421
309.344481605351,-25.2721521574352
309.739130434783,-23.5314339242679
310.133779264214,-21.7938933522968
310.528428093645,-20.0604080189571
310.923076923077,-18.3317647531853
311.317725752508,-16.6087269575367
311.71237458194,-14.8920967692006
312.107023411371,-13.1827710783909
312.501672240803,-11.4817905886927
312.896321070234,-9.79038127607127
313.290969899666,-8.10998777799405
313.685618729097,-6.44229841829259
314.080267558528,-4.7892617439301
314.47491638796,-3.15309461396216
314.869565217391,-1.5362820361155
315.264214046823,0.0584309096740854
315.658862876254,1.6280545906703
316.053511705686,3.16937719761673
316.448160535117,4.67899329187228
316.842809364549,6.15333775440982
317.23745819398,7.58872430226708
317.632107023411,8.98138769043219
318.026755852843,10.3275286872929
318.421404682274,11.6233608993167
318.816053511706,12.8651585249181
319.210702341137,14.0493041376178
319.605351170569,15.1723356334766
320,16.2309915260849
