Wavelength(nm),Δε_Gaussian,Δε_Lorentzian,Δε_Voigt
202.0,-10.68111209560915,0.38530488636712645,-16.734396172299103
202.39464882943145,-13.933842045738055,-0.9570994401936874,-17.776045435446214
202.78929765886286,-17.361044410347922,-2.6936433087492584,-18.836015235835998
203.18394648829428,-20.939290573152572,-4.864886785003521,-19.910034118584832
203.57859531772573,-24.641768107853622,-7.500823873609092,-20.993573489172956
203.97324414715717,-28.438544146895737,-10.61672561308209,-22.081889743211406
204.36789297658862,-32.29690674393646,-14.209474786218818,-23.170071314017296
204.76254180602007,-36.181781217859594,-18.254895380312036,-24.253090074659525
205.1571906354515,-40.05621645744857,-22.706499797019656,-25.325856419859864
205.55183946488296,-43.881934184681185,-27.495915168629416,-26.38327725049259
205.94648829431438,-47.61993227921166,-32.53503720331085,-27.420315992204927
206.3411371237458,-51.231131514926474,-37.71973584773223,-28.432053702486787
206.73578595317724,-54.67705350738792,-42.934740464781974,-29.413750259734858
207.1304347826087,-57.920516370434164,-48.05919306896311,-30.36090458556624
207.52508361204013,-60.92633357722044,-52.97229515839432,-31.269312829545395
207.91973244147155,-63.66200085422116,-57.55849536822272,-32.13512344488089
208.31438127090297,-66.09835563585438,-61.71177086932012,-32.95488810532883
208.70903010033447,-68.2101936921249,-65.3387336289986,-33.725607457803704
209.1036789297659,-69.9768280208083,-68.36051702754771,-34.444770771799035
209.4983277591973,-71.38257596667253,-70.71362550661313,-35.110388634886654
209.89297658862876,-72.41716177909005,-72.35010472412536,-35.7210179519481
210.2876254180602,-73.07602342101231,-73.23746086418785,-36.27577863258821
210.68227424749165,-73.36051436107772,-73.35869970026417,-36.77436149402749
211.07692307692307,-73.27799327149408,-72.71268482500744,-37.21702706294631
211.47157190635448,-72.84179696406058,-71.3147867721032,-37.60459512610208
211.86622073578593,-72.07109446537339,-69.19758687833011,-37.93842505265093
212.26086956521738,-70.99062279522893,-66.41127689064314,-38.22038708731558
212.65551839464882,-69.63030770183356,-63.02338733190371,-38.45282498907699
213.05016722408024,-68.02477525507925,-59.1175731835765,-38.638510561097355
213.44481605351172,-66.21276273726691,-54.79134516940066,-38.780590780346465
213.83946488294316,-64.23643963461507,-50.15281277828219,-38.882528386260105
214.23411371237458,-62.14065166277661,-45.31666488306653,-38.94803692333472
214.62876254180603,-59.97210260184779,-40.39973374834034,-38.98101134976428
215.02341137123744,-57.77849022514992,-35.51655699506128,-38.985455420378216
215.4180602006689,-55.60761374448979,-30.77536275174004,-38.96540712502559
215.81270903010034,-53.50647093543044,-26.274851976825218,-38.92486351143707
216.20735785953175,-51.52036343244204,-22.102041743902223,-38.86770624334747
216.6020066889632,-49.6920285892871,-18.331278026267633,-38.797629239672254
