Wavelength(nm),Δε_Gaussian,Δε_Lorentzian,Δε_Voigt
202.0,48.23224270844178,27.800420947111185,18.097883077793014
202.39464882943145,49.58049663286552,29.188937507759285,18.13602345080858
202.78929765886286,50.77613824933844,30.515525059262476,18.120282263112877
203.18394648829428,51.80257972865483,31.75283758861373,18.047932444654375
203.57859531772573,52.64404899719115,32.873790602549754,17.916446574788736
203.97324414715717,53.28581469362948,33.852841182337386,17.72352206485504
204.36789297658862,53.714403651282325,34.667068423912305,17.467104787230255
204.76254180602007,53.91780655222624,35.29688204479062,17.145410813478332
205.1571906354515,53.885667458847486,35.726249166412956,16.756945944534184
205.55183946488296,53.60945309181574,35.94242096156405,16.30052274258406
205.94648829431438,53.08259799166176,35.935241723078484,15.775274807089655
206.3411371237458,52.3006220719059,35.69620960900879,15.180668075790248
206.73578595317724,51.26121754003143,35.21751081760362,14.516508974880404
207.1304347826087,49.96430272058212,34.491256136245816,13.782949290158012
207.52508361204013,48.41204095155853,33.509111348471464,12.98048768189736
207.91973244147155,46.60882342776727,32.26244207730614,12.109967819553612
208.31438127090297,44.56121561721413,30.743006254560402,11.172573167097937
208.70903010033447,42.27786766145435,28.944140230300402,10.169818504701555
209.1036789297659,39.76938996895942,26.86230966880224,9.103538326488682
209.4983277591973,37.04819600197593,24.49884040671499,7.975872306006029
209.89297658862876,34.128315021572675,21.86161055923363,6.789248069783953
210.2876254180602,31.02517827225168,18.966475995661714,5.546361563799364
210.68227424749165,27.755382737088546,15.838219999225062,4.250155336790118
211.07692307692307,24.336437158641917,12.510866017183867,2.9037950973106907
211.47157190635448,20.78649548352205,9.027265841637236,1.5106449273717217
211.86622073578593,17.12408323565814,5.437961981258346,0.07424155384675785
212.26086956521738,13.367822543962985,1.7994034696902699,-1.4017319109157247
212.65551839464882,9.536161636501651,-1.8283498337873176,-2.9134723459527643
213.05016722408024,5.6471145612051945,-5.3842781363583345,-4.457082709288998
213.44481605351172,1.7180167020738732,-8.80926016209535,-6.028597444520471
213.83946488294316,-2.2346986671314313,-12.049012246858682,-7.6240068376835275
214.23411371237458,-6.195698005680132,-15.056990812479745,-9.239279986397978
214.62876254180603,-10.150915093762636,-17.797122585378933,-10.870386080919065
215.02341137123744,-14.08768505395816,-20.246179289525625,-12.513313740526227
215.4180602006689,-17.994842043475742,-22.395554490262978,-14.16408819764812
215.81270903010034,-21.862778693321037,-24.252162056011066,-15.818786175181186
216.20735785953175,-25.683466259275,-25.83819320374168,-17.473548358415336
216.6020066889632,-29.45043536640639,-27.189564611711923,-19.12458942057367
216.99665551839462,-33.15871815148029,-28.35306078295464,-20.768205618898648
217.3913043478261,-36.80475351376128,-29.382387806525838,-22.40078003515954
217.78595317725754,-40.38625805259713,-30.33355986742668,-24.01878558912557
218.18060200668896,-43.90206607921656,-31.260177961063697,-25.618786004696208
218.5752508361204,-47.35194282137976,-32.2091928643219,-27.197434954837323
218.96989966555185,-50.73637557601955,-33.21766264521046,-28.751473652192647
219.36454849498327,-54.056348092294776,-34.310841771122426,-30.27772718627897
219.7591973244147,-57.313103873824225,-35.50171838201267,-31.773099934772375
220.15384615384613,-60.50790436542279,-36.7918979534234,-33.23457039493017
220.54849498327758,-63.64178813063142,-38.17355609669349,-34.659185791260754
220.94314381270902,-66.71533712898749,-39.632075343489106,-36.04405681691627
221.33779264214044,-69.72845606662659,-41.1489485097071,-37.38635285890175
221.7324414715719,-72.68017052372619,-42.704568960078056,-38.683298041255355
222.12709030100336,-75.56844916354109,-44.28061976089585,-39.93216839619427
222.5217391304348,-78.39005480903981,-45.861895779987336,-41.13029044140618
222.91638795986623,-81.14042854549845,-47.43751758273245,-42.27504140289994
223.31103678929765,-83.81361028406016,-49.00159656003449,-43.36385127799398
223.7056856187291,-86.40219841733298,-50.5534670859826,-44.394206883130394
224.10033444816054,-88.89735033024701,-52.09760589289752,-45.36365797737038
224.49498327759198,-91.28882461564349,-53.64331811190995,-46.26982549588225
224.8896321070234,-93.56506490338923,-55.20420300749235,-47.11041186974211
225.28428093645482,-95.71332426391781,-56.79734656196705,-47.88321335024192
225.67892976588627,-97.71982821199933,-58.44214786357185,-48.586134198965794
226.07357859531774,-99.56997343435147,-60.158688214465485,-49.217202550418975
226.46822742474916,-101.24855851512636,-61.965599071520266,-49.77458770325681
226.8628762541806,-102.74004215543573,-63.877466596721796,-50.25661855027061
227.25752508361205,-104.0288236948586,-65.90190639023841,-50.66180281734899
227.6521739130435,-105.09954016084768,-68.03652938994283,-50.98884674853505
228.04682274247492,-105.93737361076661,-70.26608174138143,-51.23667484884154
228.44147157190633,-106.5283622033541,-72.56007025282231,-51.40444927926707
228.83612040133778,-106.85970825152621,-74.87118301936812,-51.491588489909354
229.23076923076923,-106.92007647339906,-77.13478941254363,-51.497784677437586
229.62541806020067,-106.6998757768103,-79.26976165829109,-51.42301966250113
230.0200668896321,-106.19151818446186,-81.18080269339637,-51.26757880077015
230.4147157190635,-105.38964892847585,-82.76238527847211,-51.032062567864386
230.80936454849495,-104.29134230723506,-83.90429348275201,-50.717395492902654
231.20401337792643,-102.8962585927658,-84.49859870197514,-50.324832157073935
231.59866220735785,-101.20675808886769,-84.44769743997652,-49.855960021631475
231.9933110367893,-99.22796935065,-83.67280502454068,-49.312698903011785
232.38795986622074,-96.96780956407818,-82.12207897403154,-48.69729697028097
232.7826086956522,-94.43695612602089,-79.77739711627488,-48.01232320055615
233.1772575250836,-91.64876953576118,-76.6588019415178,-47.26065629018801
233.57190635451502,-88.61916878131746,-72.8257891880784,-46.44547008198649
233.96655518394647,-85.36646145118871,-68.37497072482965,-45.57021563031351
234.36120401337791,-81.9111317974706,-63.43413340209629,-44.63860008516641
234.75585284280936,-78.27559089410889,-58.15325480565327,-43.65456263219613
235.1505016722408,-74.48389385061483,-52.69350898698038,-42.6222477768072
235.54515050167225,-70.56142973585594,-47.21559530398921,-41.54597630603215
235.9397993311037,-66.53459042088126,-41.868786718997,-40.430214300876706
236.33444816053512,-62.43042495035768,-36.78191298020205,-39.27954060353826
236.72909698996654,-58.27628628974017,-32.057118697461284,-38.09861316776212
237.12374581939798,-54.09947736505407,-27.766756448866737,-36.89213473621199
237.51839464882943,-49.926903214272826,-23.953295223024995,-35.66481829591654
237.91304347826087,-45.784735808667996,-20.631736595376086,-34.421352761594
238.3076923076923,-41.69809768875154,-17.793793640416446,-33.166369327147656
238.7023411371237,-37.69077000638718,-15.413016798657676,-31.9044089082229
