,Wavelength(nm),R(ELEC)
1,252.1,34.68489
10,238.3,141.51871
25,215.3,58.71405
50,202.3,14.98375
100,191.5,2.73281
150,183.9,-1.68282
200,179.1,-13.1122
250,173.2,13.56351
300,167.2,4.62375
