,Wavelength(nm),R(ELEC)
1,250.4,13.83551
10,230.1,25.75195
25,212.6,21.05061
50,193.4,-12.0019
100,179.6,37.22919
150,170.5,-255.6525
200,163.7,21.99022
250,158.2,-9.08801
300,153.5,-1.82159
