,Wavelength(nm),R(ELEC)
1,240.9,45.56036
10,216.3,-130.85523
25,195.8,0.28268
50,181.7,-11.43478
100,162.8,-2.788
150,152.4,26.00721
200,146.3,3.08908
250,141.7,5.16908
300,138.2,-6.92028
