,Wavelength(nm),R(ELEC)
1,240.8,140.18643
10,215.5,496.05935
25,192.7,1.47116
50,180.9,-10.03369
100,162.2,-5.58981
150,151.6,-1.21301
200,145.7,-10.24984
250,141.1,-5.98292
300,137.6,0.17834
