,Wavelength(nm),R(ELEC)
1,241.3,180.05477
10,213.4,310.91142
25,189.3,3.78876
50,174.8,20.55352
100,155.6,2.79692
150,145.9,43.39809
200,140.0,-4.80233
250,135.4,-8.4769
300,130.8,-4.43226
