,Wavelength(nm),R(ELEC)
1,244.2,-77.81791
10,219.3,-361.41704
25,206.1,-10.14634
50,187.9,-4.71422
100,171.0,3.23629
150,161.4,4.83587
200,153.4,-11.7767
250,148.5,1.92255
300,145.0,15.01887
